item_SYNTHETIC,composition_a_SYNTHETIC,composition_b_SYNTHETIC
synthetic_0,0.6632196364,0.3367803636
synthetic_1,0.7329842936,0.2670157064
synthetic_2,0.4416143018,0.5583856982
synthetic_3,0.2735080827,0.7264919173
synthetic_4,0.7102594537,0.2897405463
synthetic_5,0.4466369748,0.5533630252
synthetic_6,0.4784929227,0.5215070773
synthetic_7,0.5480340512,0.4519659488
synthetic_8,0.6369374953,0.3630625047
synthetic_9,0.5273935432,0.4726064568
synthetic_10,0.4677779549,0.5322220451
synthetic_11,0.6069883682,0.3930116318
synthetic_12,0.4937847506,0.5062152494
synthetic_13,0.5689035319,0.4310964681
synthetic_14,0.2646732837,0.7353267163
synthetic_15,0.5770550819,0.4229449181
synthetic_16,0.7008138403,0.2991861597
synthetic_17,0.5225360227,0.4774639773
synthetic_18,0.5468360099,0.4531639901
synthetic_19,0.6093529116,0.3906470884
synthetic_20,0.4100372169,0.5899627831
synthetic_21,0.4964002166,0.5035997834
synthetic_22,0.3700866654,0.6299133346
synthetic_23,0.6985668334,0.3014331666
synthetic_24,0.5765610640,0.4234389360
synthetic_25,0.4224446024,0.5775553976
synthetic_26,0.6063460667,0.3936539333
synthetic_27,0.7148552195,0.2851447805
synthetic_28,0.4714066303,0.5285933697
synthetic_29,0.2925694692,0.7074305308
synthetic_30,0.7352776894,0.2647223106
synthetic_31,0.4407462378,0.5592537622
synthetic_32,0.3349145628,0.6650854372
synthetic_33,0.5672346773,0.4327653227
synthetic_34,0.7397197783,0.2602802217
synthetic_35,0.5670112732,0.4329887268
synthetic_36,0.3206768347,0.6793231653
synthetic_37,0.4488029366,0.5511970634
synthetic_38,0.7349531853,0.2650468147
synthetic_39,0.3064211739,0.6935788261
synthetic_40,0.4289010181,0.5710989819
synthetic_41,0.7240586385,0.2759413615
synthetic_42,0.6568108525,0.3431891475
synthetic_43,0.4760407842,0.5239592158
synthetic_44,0.5878444441,0.4121555559
synthetic_45,0.6261820111,0.3738179889
synthetic_46,0.4021505602,0.5978494398
synthetic_47,0.4816000678,0.5183999322
synthetic_48,0.4684310779,0.5315689221
synthetic_49,0.5201692896,0.4798307104
synthetic_50,0.4643249658,0.5356750342
synthetic_51,0.4571079710,0.5428920290
synthetic_52,0.5983687478,0.4016312522
synthetic_53,0.4708614031,0.5291385969
synthetic_54,0.3631347360,0.6368652640
synthetic_55,0.5273871745,0.4726128255
synthetic_56,0.5579624122,0.4420375878
synthetic_57,0.4638170120,0.5361829880
synthetic_58,0.4749592132,0.5250407868
synthetic_59,0.6338395884,0.3661604116
synthetic_60,0.7506351708,0.2493648292
synthetic_61,0.5498924405,0.4501075595
synthetic_62,0.2998514229,0.7001485771
synthetic_63,0.5474227300,0.4525772700
synthetic_64,0.6317398520,0.3682601480
synthetic_65,0.4409130975,0.5590869025
synthetic_66,0.2985555447,0.7014444553
synthetic_67,0.5397711291,0.4602288709
synthetic_68,0.5045431731,0.4954568269
synthetic_69,0.2897556272,0.7102443728
synthetic_70,0.3654374134,0.6345625866
synthetic_71,0.7010692174,0.2989307826
synthetic_72,0.4575784463,0.5424215537
synthetic_73,0.4234015583,0.5765984417
synthetic_74,0.4266867348,0.5733132652
synthetic_75,0.6126188990,0.3873811010
synthetic_76,0.5014912753,0.4985087247
synthetic_77,0.4905069627,0.5094930373
synthetic_78,0.5854446648,0.4145553352
synthetic_79,0.4305497037,0.5694502963
synthetic_80,0.4706463208,0.5293536792
synthetic_81,0.3872984396,0.6127015604
