item_SYNTHETIC,composition_a_SYNTHETIC,composition_b_SYNTHETIC
synthetic_0,0.5258567103,0.4741432897
synthetic_1,0.5369843226,0.4630156774
synthetic_2,0.4905101844,0.5094898156
synthetic_3,0.4636968822,0.5363031178
synthetic_4,0.5333596620,0.4666403380
synthetic_5,0.4913113115,0.5086886885
synthetic_6,0.4963924035,0.5036075965
synthetic_7,0.5074843626,0.4925156374
synthetic_8,0.5216646524,0.4783353476
synthetic_9,0.5041921573,0.4958078427
synthetic_10,0.4946833432,0.5053166568
synthetic_11,0.5168877025,0.4831122975
synthetic_12,0.4988314828,0.5011685172
synthetic_13,0.5108130894,0.4891869106
synthetic_14,0.4622877128,0.5377122872
synthetic_15,0.5121132791,0.4878867209
synthetic_16,0.5318530664,0.4681469336
synthetic_17,0.5034173724,0.4965826276
synthetic_18,0.5072932724,0.4927067276
synthetic_19,0.5172648522,0.4827351478
synthetic_20,0.4854735717,0.5145264283
synthetic_21,0.4992486553,0.5007513447
synthetic_22,0.4791013731,0.5208986269
synthetic_23,0.5314946640,0.4685053360
synthetic_24,0.5120344822,0.4879655178
synthetic_25,0.4874525763,0.5125474237
synthetic_26,0.5167852540,0.4832147460
synthetic_27,0.5340926965,0.4659073035
synthetic_28,0.4952621247,0.5047378753
synthetic_29,0.4667372142,0.5332627858
synthetic_30,0.5373501242,0.4626498758
synthetic_31,0.4903717264,0.5096282736
synthetic_32,0.4734913473,0.5265086527
synthetic_33,0.5105469036,0.4894530964
synthetic_34,0.5380586469,0.4619413531
synthetic_35,0.5105112701,0.4894887299
synthetic_36,0.4712203992,0.5287796008
synthetic_37,0.4916567871,0.5083432129
synthetic_38,0.5372983651,0.4627016349
synthetic_39,0.4689465908,0.5310534092
synthetic_40,0.4884823884,0.5115176116
synthetic_41,0.5355606615,0.4644393385
synthetic_42,0.5248344955,0.4751655045
synthetic_43,0.4960012822,0.5039987178
synthetic_44,0.5138342055,0.4861657945
synthetic_45,0.5199491297,0.4800508703
synthetic_46,0.4842156330,0.5157843670
synthetic_47,0.4968879998,0.5031120002
synthetic_48,0.4947875177,0.5052124823
synthetic_49,0.5030398733,0.4969601267
synthetic_50,0.4941325840,0.5058674160
synthetic_51,0.4929814579,0.5070185421
synthetic_52,0.5155128545,0.4844871455
synthetic_53,0.4951751598,0.5048248402
synthetic_54,0.4779925255,0.5220074745
synthetic_55,0.5041911415,0.4958088585
synthetic_56,0.5090679574,0.4909320426
synthetic_57,0.4940515643,0.5059484357
synthetic_58,0.4958287693,0.5041712307
synthetic_59,0.5211705296,0.4788294704
synthetic_60,0.5397996754,0.4602003246
synthetic_61,0.5077807796,0.4922192204
synthetic_62,0.4678987014,0.5321012986
synthetic_63,0.5073868555,0.4926131445
synthetic_64,0.5208356172,0.4791643828
synthetic_65,0.4903983408,0.5096016592
synthetic_66,0.4676920060,0.5323079940
synthetic_67,0.5061664088,0.4938335912
synthetic_68,0.5005474743,0.4994525257
synthetic_69,0.4662884003,0.5337115997
synthetic_70,0.4783598074,0.5216401926
synthetic_71,0.5318937996,0.4681062004
synthetic_72,0.4930564997,0.5069435003
synthetic_73,0.4876052128,0.5123947872
synthetic_74,0.4881292055,0.5118707945
synthetic_75,0.5177857842,0.4822142158
synthetic_76,0.5000606900,0.4999393100
synthetic_77,0.4983086686,0.5016913314
synthetic_78,0.5134514356,0.4865485644
synthetic_79,0.4887453573,0.5112546427
synthetic_80,0.4951408537,0.5048591463
synthetic_81,0.4818466880,0.5181533120
synthetic_82,0.5394157439,0.4605842561
synthetic_83,0.4896091180,0.5103908820
synthetic_84,0.4589909077,0.5410090923
synthetic_85,0.4854555595,0.5145444405
synthetic_86,0.4980989235,0.5019010765
synthetic_87,0.4848475836,0.5151524164
synthetic_88,0.5036975987,0.4963024013
synthetic_89,0.4948889025,0.5051110975
synthetic_90,0.5319075083,0.4680924917
synthetic_91,0.4692735043,0.5307264957
synthetic_92,0.4739086538,0.5260913462
synthetic_93,0.5109302277,0.4890697723
synthetic_94,0.4922821083,0.5077178917
synthetic_95,0.4594073223,0.5405926777
synthetic_96,0.4966371460,0.5033628540
synthetic_97,0.5375053092,0.4624946908
synthetic_98,0.4723880368,0.5276119632
synthetic_99,0.4933082891,0.5066917109
synthetic_100,0.5261075296,0.4738924704
synthetic_101,0.5087869277,0.4912130723
synthetic_102,0.4728339364,0.5271660636
synthetic_103,0.4873402840,0.5126597160
synthetic_104,0.5364024647,0.4635975353
synthetic_105,0.5071066997,0.4928933003
synthetic_106,0.4681557699,0.5318442301
synthetic_107,0.5053778231,0.4946221769
synthetic_108,0.5328617562,0.4671382438
synthetic_109,0.4815426159,0.5184573841
synthetic_110,0.4606626019,0.5393373981
synthetic_111,0.4899590384,0.5100409616
synthetic_112,0.5075123826,0.4924876174
synthetic_113,0.5039397288,0.4960602712
synthetic_114,0.4804027717,0.5195972283
synthetic_115,0.5212705929,0.4787294071
synthetic_116,0.4922463312,0.5077536688
synthetic_117,0.4957500389,0.5042499611
synthetic_118,0.5154375693,0.4845624307
synthetic_119,0.5365658227,0.4634341773
synthetic_120,0.5176696615,0.4823303385
synthetic_121,0.4894846326,0.5105153674
synthetic_122,0.4863398808,0.5136601192
synthetic_123,0.5344467792,0.4655532208
synthetic_124,0.4682906716,0.5317093284
synthetic_125,0.4997713342,0.5002286658
synthetic_126,0.5311741210,0.4688258790
synthetic_127,0.5159809604,0.4840190396
synthetic_128,0.4885299341,0.5114700659
synthetic_129,0.5123437141,0.4876562859
synthetic_130,0.5262961524,0.4737038476
synthetic_131,0.4818623637,0.5181376363
synthetic_132,0.4984058899,0.5015941101
synthetic_133,0.4924756412,0.5075243588
synthetic_134,0.5037750240,0.4962249760
synthetic_135,0.4939650756,0.5060349244
synthetic_136,0.4912322583,0.5087677417
synthetic_137,0.5121239848,0.4878760152
synthetic_138,0.4934955669,0.5065044331
synthetic_139,0.4840754222,0.5159245778
synthetic_140,0.4976982398,0.5023017602
synthetic_141,0.5173145772,0.4826854228
synthetic_142,0.4867715980,0.5132284020
synthetic_143,0.4869953424,0.5130046576
synthetic_144,0.5179580551,0.4820419449
synthetic_145,0.5355019563,0.4644980437
synthetic_146,0.4941466571,0.5058533429
synthetic_147,0.4606818906,0.5393181094
synthetic_148,0.5242646636,0.4757353364
synthetic_149,0.5022707582,0.4977292418
synthetic_150,0.5042915831,0.4957084169
synthetic_151,0.4802732807,0.5197267193
synthetic_152,0.4975754303,0.5024245697
synthetic_153,0.4861283977,0.5138716023
synthetic_154,0.4612543428,0.5387456572
synthetic_155,0.4998601045,0.5001398955
synthetic_156,0.5375511231,0.4624488769
synthetic_157,0.4758193271,0.5241806729
synthetic_158,0.4987425491,0.5012574509
synthetic_159,0.5053414841,0.4946585159
synthetic_160,0.4965279544,0.5034720456
synthetic_161,0.4688637610,0.5311362390
synthetic_162,0.4665179374,0.5334820626
synthetic_163,0.4979006435,0.5020993565
synthetic_164,0.5194765403,0.4805234597
synthetic_165,0.4858531268,0.5141468732
synthetic_166,0.4881596420,0.5118403580
synthetic_167,0.5123544605,0.4876455395
synthetic_168,0.5190098115,0.4809901885
synthetic_169,0.4942353354,0.5057646646
synthetic_170,0.5162884869,0.4837115131
synthetic_171,0.5363248813,0.4636751187
synthetic_172,0.5037361727,0.4962638273
synthetic_173,0.4644835778,0.5355164222
synthetic_174,0.5281423775,0.4718576225
synthetic_175,0.4936880333,0.5063119667
synthetic_176,0.4987285890,0.5012714110
synthetic_177,0.5066096196,0.4933903804
synthetic_178,0.5237168397,0.4762831603
synthetic_179,0.5095615682,0.4904384318
synthetic_180,0.4984401813,0.5015598187
synthetic_181,0.5073190721,0.4926809279
synthetic_182,0.5015747200,0.4984252800
synthetic_183,0.5098490986,0.4901509014
synthetic_184,0.4741192980,0.5258807020
synthetic_185,0.4938559389,0.5061440611
synthetic_186,0.5120389176,0.4879610824
synthetic_187,0.4859343096,0.5140656904
synthetic_188,0.4809939475,0.5190060525
synthetic_189,0.4978254360,0.5021745640
synthetic_190,0.5152729603,0.4847270397
synthetic_191,0.4769442747,0.5230557253
synthetic_192,0.5079001222,0.4920998778
synthetic_193,0.4993634909,0.5006365091
synthetic_194,0.4904995687,0.5095004313
synthetic_195,0.4878224603,0.5121775397
synthetic_196,0.5134359402,0.4865640598
synthetic_197,0.5032132819,0.4967867181
synthetic_198,0.4706209790,0.5293790210
synthetic_199,0.5068299331,0.4931700669
synthetic_200,0.4963347899,0.5036652101
synthetic_201,0.5239637805,0.4760362195
synthetic_202,0.4907823407,0.5092176593
synthetic_203,0.4881614162,0.5118385838
synthetic_204,0.5083689585,0.4916310415
synthetic_205,0.4964854948,0.5035145052
synthetic_206,0.4986099520,0.5013900480
synthetic_207,0.5046024929,0.4953975071
synthetic_208,0.5114920195,0.4885079805
synthetic_209,0.4870038323,0.5129961677
synthetic_210,0.5027667143,0.4972332857
synthetic_211,0.5114110303,0.4885889697
synthetic_212,0.4969289665,0.5030710335
synthetic_213,0.4701444642,0.5298555358
synthetic_214,0.4997529609,0.5002470391
synthetic_215,0.5380555433,0.4619444567
synthetic_216,0.4815434521,0.5184565479
synthetic_217,0.4983130566,0.5016869434
synthetic_218,0.4844706241,0.5155293759
synthetic_219,0.5130851620,0.4869148380
synthetic_220,0.5029010312,0.4970989688
synthetic_221,0.4976078468,0.5023921532
synthetic_222,0.5186390371,0.4813609629
synthetic_223,0.4960237965,0.5039762035
synthetic_224,0.4802064571,0.5197935429
synthetic_225,0.4998533480,0.5001466520
