item_SYNTHETIC,composition_a_SYNTHETIC,composition_b_SYNTHETIC
synthetic_0,0.5263386127,0.4736613873
synthetic_1,0.5375964756,0.4624035244
synthetic_2,0.4905783500,0.5094216500
synthetic_3,0.4634511936,0.5365488064
synthetic_4,0.5339293877,0.4660706123
synthetic_5,0.4913888544,0.5086111456
synthetic_6,0.4965294214,0.5034705786
synthetic_7,0.5077512136,0.4922487864
synthetic_8,0.5220974861,0.4779025139
synthetic_9,0.5044204726,0.4955795274
synthetic_10,0.4948003562,0.5051996438
synthetic_11,0.5172646212,0.4827353788
synthetic_12,0.4989970505,0.5010029495
synthetic_13,0.5111189038,0.4888810962
synthetic_14,0.4620255297,0.5379744703
synthetic_15,0.5124343125,0.4875656875
synthetic_16,0.5324051571,0.4675948429
synthetic_17,0.5036366186,0.4963633814
synthetic_18,0.5075578867,0.4924421133
synthetic_19,0.5176461855,0.4823538145
synthetic_20,0.4854827829,0.5145172171
synthetic_21,0.4994191060,0.5005808940
synthetic_22,0.4790359967,0.5209640033
synthetic_23,0.5320425595,0.4679574405
synthetic_24,0.5123545932,0.4876454068
synthetic_25,0.4874849520,0.5125150480
synthetic_26,0.5171609735,0.4828390265
synthetic_27,0.5346710024,0.4653289976
synthetic_28,0.4953859125,0.5046140875
synthetic_29,0.4665271132,0.5334728868
synthetic_30,0.5379665589,0.4620334411
synthetic_31,0.4904382712,0.5095617288
synthetic_32,0.4733603046,0.5266396954
synthetic_33,0.5108496022,0.4891503978
synthetic_34,0.5386833750,0.4613166250
synthetic_35,0.5108135517,0.4891864483
synthetic_36,0.4710627747,0.5289372253
synthetic_37,0.4917383738,0.5082616262
synthetic_38,0.5379141939,0.4620858061
synthetic_39,0.4687623509,0.5312376491
synthetic_40,0.4885268183,0.5114731817
synthetic_41,0.5361561503,0.4638438497
synthetic_42,0.5253044327,0.4746955673
synthetic_43,0.4961337219,0.5038662781
synthetic_44,0.5141753826,0.4858246174
synthetic_45,0.5203618829,0.4796381171
synthetic_46,0.4842101199,0.5157898801
synthetic_47,0.4970308187,0.5029691813
synthetic_48,0.4949057501,0.5050942499
synthetic_49,0.5032547010,0.4967452990
synthetic_50,0.4942431503,0.5057568497
synthetic_51,0.4930785501,0.5069214499
synthetic_52,0.5158736804,0.4841263196
synthetic_53,0.4952979296,0.5047020704
synthetic_54,0.4779141698,0.5220858302
synthetic_55,0.5044194449,0.4955805551
synthetic_56,0.5093533447,0.4906466553
synthetic_57,0.4941611823,0.5058388177
synthetic_58,0.4959591897,0.5040408103
synthetic_59,0.5215975795,0.4784024205
synthetic_60,0.5404447825,0.4595552175
synthetic_61,0.5080511003,0.4919488997
synthetic_62,0.4677021958,0.5322978042
synthetic_63,0.5076525652,0.4923474348
synthetic_64,0.5212587469,0.4787412531
synthetic_65,0.4904651972,0.5095348028
synthetic_66,0.4674930811,0.5325069189
synthetic_67,0.5064178330,0.4935821670
synthetic_68,0.5007331279,0.4992668721
synthetic_69,0.4660730459,0.5339269541
synthetic_70,0.4782857509,0.5217142491
synthetic_71,0.5324463671,0.4675536329
synthetic_72,0.4931544703,0.5068455297
synthetic_73,0.4876393752,0.5123606248
synthetic_74,0.4881695013,0.5118304987
synthetic_75,0.5181732151,0.4818267849
synthetic_76,0.5002406458,0.4997593542
synthetic_77,0.4984681167,0.5015318833
synthetic_78,0.5137881323,0.4862118677
synthetic_79,0.4887928653,0.5112071347
synthetic_80,0.4952632220,0.5047367780
synthetic_81,0.4818134459,0.5181865541
synthetic_82,0.5400563571,0.4599436429
synthetic_83,0.4896667365,0.5103332635
synthetic_84,0.4586901350,0.5413098650
synthetic_85,0.4854645599,0.5145354401
synthetic_86,0.4982559165,0.5017440835
synthetic_87,0.4848494674,0.5151505326
synthetic_88,0.5039201251,0.4960798749
synthetic_89,0.4950083217,0.5049916783
synthetic_90,0.5324602363,0.4675397637
synthetic_91,0.4690930910,0.5309069090
synthetic_92,0.4737824958,0.5262175042
synthetic_93,0.5112374132,0.4887625868
synthetic_94,0.4923710146,0.5076289854
synthetic_95,0.4591114238,0.5408885762
synthetic_96,0.4967770286,0.5032229714
synthetic_97,0.5381235604,0.4618764396
synthetic_98,0.4722440796,0.5277559204
synthetic_99,0.4934092069,0.5065907931
synthetic_100,0.5265923679,0.4734076321
synthetic_101,0.5090690255,0.4909309745
synthetic_102,0.4726951986,0.5273048014
synthetic_103,0.4873713453,0.5126286547
synthetic_104,0.5370078069,0.4629921931
synthetic_105,0.5073691301,0.4926308699
synthetic_106,0.4679622734,0.5320377266
synthetic_107,0.5056200167,0.4943799833
synthetic_108,0.5334256538,0.4665743462
synthetic_109,0.4815058146,0.5184941854
synthetic_110,0.4603813967,0.5396186033
synthetic_111,0.4900207527,0.5099792473
synthetic_112,0.5077795617,0.4922204383
synthetic_113,0.5041650893,0.4958349107
synthetic_114,0.4803526284,0.5196473716
synthetic_115,0.5216988141,0.4783011859
synthetic_116,0.4923348186,0.5076651814
synthetic_117,0.4958795378,0.5041204622
synthetic_118,0.5157975140,0.4842024860
synthetic_119,0.5371730770,0.4628269230
synthetic_120,0.5180557331,0.4819442669
synthetic_121,0.4895407939,0.5104592061
synthetic_122,0.4863592323,0.5136407677
synthetic_123,0.5350292297,0.4649707703
synthetic_124,0.4680987542,0.5319012458
synthetic_125,0.4999479030,0.5000520970
synthetic_126,0.5317182646,0.4682817354
synthetic_127,0.5163472656,0.4836527344
synthetic_128,0.4885749205,0.5114250795
synthetic_129,0.5126674447,0.4873325553
synthetic_130,0.5267831985,0.4732168015
synthetic_131,0.4818293051,0.5181706949
synthetic_132,0.4985664760,0.5014335240
synthetic_133,0.4925668127,0.5074331873
synthetic_134,0.5039984567,0.4960015433
synthetic_135,0.4940736813,0.5059263187
synthetic_136,0.4913088758,0.5086911242
synthetic_137,0.5124451434,0.4875548566
synthetic_138,0.4935986768,0.5064013232
synthetic_139,0.4840682678,0.5159317322
synthetic_140,0.4978505427,0.5021494573
synthetic_141,0.5176964926,0.4823035074
synthetic_142,0.4867960028,0.5132039972
synthetic_143,0.4870223661,0.5129776339
synthetic_144,0.5183475025,0.4816524975
synthetic_145,0.5360967579,0.4639032421
synthetic_146,0.4942573881,0.5057426119
synthetic_147,0.4604009111,0.5395990889
synthetic_148,0.5247279308,0.4752720692
synthetic_149,0.5024765832,0.4975234168
synthetic_150,0.5045210621,0.4954789379
synthetic_151,0.4802216216,0.5197783784
synthetic_152,0.4977262957,0.5022737043
synthetic_153,0.4861452737,0.5138547263
synthetic_154,0.4609800639,0.5390199361
