item_SYNTHETIC,composition_a_SYNTHETIC,composition_b_SYNTHETIC
synthetic_0,0.5203355684,0.4796644316
synthetic_1,0.5308977541,0.4691022459
synthetic_2,0.4867851033,0.5132148967
synthetic_3,0.4613342637,0.5386657363
synthetic_4,0.5274572731,0.4725427269
synthetic_5,0.4875455228,0.5124544772
synthetic_6,0.4923684296,0.5076315704
synthetic_7,0.5028967736,0.4971032264
synthetic_8,0.5163565213,0.4836434787
synthetic_9,0.4997718550,0.5002281450
synthetic_10,0.4907462116,0.5092537884
synthetic_11,0.5118223022,0.4881776978
synthetic_12,0.4946835721,0.5053164279
synthetic_13,0.5060563581,0.4939436419
synthetic_14,0.4599966984,0.5400033016
synthetic_15,0.5072904814,0.4927095186
synthetic_16,0.5260272321,0.4739727679
synthetic_17,0.4990364391,0.5009635609
synthetic_18,0.5027153933,0.4972846067
synthetic_19,0.5121802879,0.4878197121
synthetic_20,0.4820044157,0.5179955843
synthetic_21,0.4950795468,0.5049204532
synthetic_22,0.4759560072,0.5240439928
synthetic_23,0.5256870411,0.4743129589
synthetic_24,0.5072156884,0.4927843116
synthetic_25,0.4838828612,0.5161171388
synthetic_26,0.5117250595,0.4882749405
synthetic_27,0.5281530600,0.4718469400
synthetic_28,0.4912955835,0.5087044165
synthetic_29,0.4642201075,0.5357798925
synthetic_30,0.5312449682,0.4687550318
synthetic_31,0.4866536807,0.5133463193
synthetic_32,0.4706310434,0.5293689566
synthetic_33,0.5058036979,0.4941963021
synthetic_34,0.5319174888,0.4680825112
synthetic_35,0.5057698751,0.4942301249
synthetic_36,0.4684754888,0.5315245112
synthetic_37,0.4878734437,0.5121265563
synthetic_38,0.5311958391,0.4688041609
synthetic_39,0.4663172192,0.5336827808
synthetic_40,0.4848603456,0.5151396544
synthetic_41,0.5295464334,0.4704535666
synthetic_42,0.5193652954,0.4806347046
synthetic_43,0.4919971823,0.5080028177
synthetic_44,0.5089239624,0.4910760376
synthetic_45,0.5147281693,0.4852718307
synthetic_46,0.4808103966,0.5191896034
synthetic_47,0.4928388432,0.5071611568
synthetic_48,0.4908450927,0.5091549073
synthetic_49,0.4986781220,0.5013218780
