c5_color,c5_color_error,c5_s1,c5_s1_error,c5_s2,c5_s2_error,c5_s3,c5_s3_error,c5_luminosity,c5_luminosity_error,c5_reference_time_error,c5_predicted_redshift,c5_predicted_redshift_error,c5_amplitude,unit,epoch
-0.009357884,0.15779722,0.0072110947,0.99671745,0.00063189864,0.9919141,-0.012779037,0.9945927,-21.604122291054345,0.071436584,19.92119,0.28073224,0.25717854,198.72061,1125,E3
-0.009358,0.15779684,0.0072240625,0.9967194,0.0006389767,0.9919126,-0.012773769,0.99459296,-21.42220706853241,0.124301806,19.921154,0.28073055,0.25717756,168.06715,1128,E3
-0.00935748,0.15779775,0.007235611,0.9967222,0.000644058,0.99190944,-0.012780728,0.9945858,-21.203725815889456,0.073584475,19.921028,0.28072965,0.2571769,137.43369,1142,E3
-0.009358535,0.15779722,0.007220546,0.99671894,0.0006389171,0.99191695,-0.012774223,0.994582,-23.194221210208966,0.026157232,19.92118,0.2807322,0.2571795,859.57245,1147,E3
-0.009356774,0.15779729,0.0072291475,0.9967173,0.0006280914,0.99190843,-0.012776332,0.9945956,-21.759818180385096,0.064058125,19.921011,0.28072977,0.25717655,229.36636,1151,E3
-0.009358648,0.1577968,0.007218374,0.99671715,0.0006324053,0.9919152,-0.012774622,0.99459374,-20.8591698162301,0.11349388,19.921066,0.2807308,0.25717664,100.0614,1153,E3
-0.009358747,0.15779603,0.0072258506,0.9967258,0.000638105,0.9919141,-0.012765126,0.99458176,-21.980488395250603,0.04398797,19.921135,0.28073165,0.2571791,281.055,1154,E3
-0.009358265,0.15779752,0.0072291065,0.99671817,0.0006349534,0.9919145,-0.012781782,0.99458396,-20.916357883931568,0.09682219,19.921087,0.28072974,0.2571765,105.474205,1158,E3
-0.009357691,0.15779682,0.007220233,0.99671936,0.00065179914,0.9919124,-0.012784185,0.9945843,-21.85290310440321,0.084138714,19.92116,0.28073135,0.2571781,249.8953,1162,E3
-0.009357827,0.15779603,0.0072243344,0.9967159,0.0006326288,0.9919151,-0.012777483,0.9945988,-22.48345800890801,0.087324254,19.921139,0.28072906,0.2571768,446.6719,1182,E3
-0.009358605,0.15779698,0.0072278474,0.9967191,0.00063628703,0.99191463,-0.012770293,0.9945917,-22.019724702094358,0.04462158,19.921131,0.2807308,0.2571782,291.39972,1190,E3
-0.009358812,0.15779628,0.0072201397,0.99671394,0.0006374195,0.99191487,-0.012764772,0.9945894,-21.492905064070072,0.08914539,19.921156,0.28073034,0.2571782,179.37555,1201,E3
-0.0093589965,0.1577963,0.007212514,0.9967127,0.00063335896,0.99191636,-0.012767898,0.9945896,-21.436305295500247,0.0811162,19.9212,0.28073195,0.25717866,170.26184,1208,E3
-0.009358501,0.15779638,0.0072143693,0.996717,0.00064358115,0.99191517,-0.012779834,0.99459165,-21.312064862826062,0.07653963,19.921192,0.28073135,0.2571774,151.85286,1209,E3
-0.009358288,0.15779619,0.0072169285,0.99672246,0.00062927604,0.9919146,-0.012776611,0.99459344,-21.215787019212115,0.09760337,19.921173,0.2807302,0.25717717,138.96841,1223,E3
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.843492926905007,0.12079084,19.921179,0.28072992,0.25717777,247.74196,1231,E3
-0.009358208,0.15779676,0.0072287414,0.9967162,0.00063780695,0.99191403,-0.01276602,0.99458927,-21.465724076707232,0.08482748,19.921095,0.2807302,0.25717756,174.94077,1238,E3
-0.009357551,0.15779649,0.007228354,0.9967198,0.00062615424,0.9919127,-0.012772681,0.9945943,-21.39960901304468,0.16320589,19.921127,0.28073034,0.25717804,164.60562,1241,E3
-0.0093580205,0.15779771,0.007241456,0.99672127,0.0006449595,0.9919095,-0.01278192,0.9945804,,,19.921028,0.2807304,0.2571764,-86.63808,1242,E3
-0.009356828,0.15779695,0.00722255,0.99671537,0.00063355267,0.99191153,-0.012773877,0.99458957,-21.89695120028498,0.106254116,19.920984,0.28073132,0.25717622,260.24246,1244,E3
-0.009355955,0.15779644,0.007220356,0.99671936,0.0006414056,0.9919122,-0.012784166,0.9945958,-22.31664483145662,0.06105346,19.921154,0.28073117,0.25717786,383.05035,1255,E3
-0.00935849,0.15779662,0.0072193276,0.9967149,0.0006441921,0.99191344,-0.012776608,0.9945931,-23.27397240114348,0.05685839,19.921112,0.28072974,0.25717577,925.1064,1257,E3
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-21.651400202193308,0.2383939,19.921122,0.28073123,0.2571784,207.56686,1263,E3
-0.009358445,0.15779631,0.007214429,0.99671537,0.00063961,0.99191564,-0.012773791,0.9945919,-21.255060810352205,0.1526435,19.921175,0.28073037,0.2571764,144.08707,1265,E3
-0.009357393,0.15779665,0.0072263274,0.9967189,0.00062897056,0.99191576,-0.012774585,0.99459535,-21.381930888099376,0.105328634,19.921131,0.28072938,0.25717682,161.94843,1266,E3
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.847323487316523,0.23673466,19.921162,0.28073084,0.2571783,248.61552,1273,E3
-0.00935987,0.15779604,0.007224666,0.9967155,0.0006243065,0.99191725,-0.0127753,0.99458164,-21.990946055179926,0.08370735,19.921179,0.28072882,0.2571767,283.78174,1283,E3
-0.009358926,0.15779653,0.0072179344,0.99672145,0.00062853843,0.99191916,-0.012764895,0.9945944,-20.8555964514144,0.15310752,19.921165,0.28073266,0.25718027,99.731285,1301,E3
-0.00935811,0.15779665,0.007218199,0.9967183,0.0006341189,0.9919137,-0.012772245,0.9945864,-21.595508976423588,0.06619972,19.921146,0.28073034,0.25717857,197.15367,1307,E3
-0.009356953,0.15779722,0.0072276015,0.9967182,0.00063182414,0.9919115,-0.012777211,0.9945936,-21.73396384723017,0.07663884,19.921043,0.28072995,0.2571761,223.96884,1313,E3
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.282867850611062,0.2069548,19.921179,0.28072992,0.25717777,147.82545,1324,E3
-0.009358648,0.15779711,0.007223984,0.99672043,0.00063791126,0.99191284,-0.0127768535,0.9945906,-22.058302524424953,0.052551072,19.92116,0.28073102,0.2571776,301.93906,1331,E3
-0.00935854,0.15779757,0.0072334874,0.99672043,0.0006430894,0.9919122,-0.012782248,0.99458206,-21.78615989170291,0.06263731,19.921038,0.2807312,0.25717735,234.99681,1337,E3
-0.009359026,0.15779631,0.0072194356,0.99671614,0.00063390285,0.9919152,-0.01277321,0.9945919,-22.13335116652481,0.059513263,19.92115,0.28073147,0.25717816,323.54688,1338,E3
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.513073557295847,0.2905805,19.921122,0.28073123,0.2571784,72.74893,1355,E3
-0.009358686,0.15779647,0.007214589,0.996713,0.00063817203,0.9919177,-0.012774805,0.99458975,-22.253477045990586,0.07191035,19.921131,0.28073114,0.25717747,361.40045,1361,E3
-0.0093582515,0.15779649,0.0072219316,0.99671936,0.00063662976,0.99191684,-0.012773866,0.9945946,-24.45962161031735,0.018726472,19.921093,0.28073075,0.25717708,2757.0715,1373,E3
-0.009357255,0.15779766,0.007228451,0.99671894,0.00063972175,0.99190813,-0.012783362,0.99458426,-21.552042850972583,0.069019094,19.921072,0.28072974,0.25717753,189.41768,1375,E3
-0.009357745,0.15779689,0.007221857,0.9967225,0.00061955303,0.9919137,-0.0127811115,0.99459887,-23.078408744481308,0.038960733,19.921103,0.28073046,0.25717735,772.616,1376,E3
-0.009359345,0.15779644,0.007224763,0.9967151,0.0006322935,0.9919152,-0.012770837,0.9945821,-21.95361752157188,0.059203684,19.921127,0.28072947,0.25717655,274.18973,1380,E3
-0.009358104,0.15779704,0.007219473,0.9967209,0.0006348416,0.9919167,-0.012776164,0.9945858,-21.967475245190556,0.079967685,19.921185,0.28073,0.25717705,277.71042,1387,E3
-0.009360003,0.15779613,0.00722106,0.9967179,0.0006214082,0.99191624,-0.012776872,0.99458575,-21.818593595648863,0.06746034,19.921265,0.2807283,0.25717628,242.12822,1398,E3
-0.009357383,0.15779658,0.0072253626,0.9967213,0.00062660873,0.99191505,-0.012776425,0.9945962,-21.930242114966866,0.039527338,19.921173,0.28072983,0.2571766,268.34872,1409,E3
-0.009358796,0.15779756,0.007226752,0.99672157,0.0006432906,0.99191195,-0.0127772,0.99458504,-21.74456063601808,0.05283156,19.921225,0.28073078,0.25717887,226.16394,1410,E3
-0.00935808,0.1577959,0.007232504,0.9967153,0.00063459575,0.9919194,-0.012767566,0.99460346,-21.25364875001381,0.0834035,19.920916,0.28072986,0.25717485,143.90042,1414,E3
-0.009356436,0.15779683,0.0072365496,0.9967152,0.0006285608,0.99191374,-0.012773784,0.994591,-21.54167660661446,0.060304247,19.920996,0.2807302,0.2571761,187.6169,1416,E3
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.745624961206765,0.18628177,19.921179,0.28072992,0.25717777,226.38742,1418,E3
-0.009358,0.15779684,0.0072240625,0.9967194,0.0006389767,0.9919126,-0.012773769,0.99459296,-22.32689113530487,0.10600975,19.921154,0.28073055,0.25717756,386.68423,1424,E3
-0.009356651,0.15779662,0.0072233584,0.99671996,0.00062690675,0.9919126,-0.012782274,0.9945961,-23.89528971984008,0.022442222,19.921165,0.28073022,0.2571778,1639.5205,1425,E3
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.446494172130976,0.17597076,19.921162,0.28073084,0.2571783,171.86868,1426,E3
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-22.642211030041132,0.18991423,19.921162,0.28073084,0.2571783,516.99146,1427,E3
-0.009358439,0.15779704,0.0072210673,0.9967178,0.00062381476,0.9919131,-0.012777975,0.9945927,-22.600049753502404,0.03951221,19.92118,0.28073007,0.25717795,497.30402,1429,E3
-0.009358309,0.15779749,0.0072259065,0.9967201,0.00064536184,0.9919164,-0.0127790775,0.99458367,-22.8214074719926,0.036229596,19.921091,0.28073138,0.2571785,609.76117,1432,E3
-0.00935843,0.15779746,0.007217111,0.9967193,0.0006537065,0.9919122,-0.012785336,0.9945852,-20.951117124650857,0.07407797,19.921211,0.28073186,0.25717872,108.90351,1441,E3
-0.009358006,0.15779683,0.007219905,0.9967171,0.0006391406,0.99191564,-0.012773255,0.9945923,-22.351752768732993,0.042973366,19.921122,0.2807311,0.2571779,395.63885,1444,E3
-0.009357445,0.15779606,0.007227363,0.9967165,0.00063838065,0.99191445,-0.01277308,0.9945919,-21.75423135178403,0.05641392,19.921135,0.28072953,0.25717703,228.18979,1450,E3
-0.009357872,0.15779626,0.0072201733,0.99671614,0.00063353777,0.9919151,-0.012777673,0.99459684,-21.31890762758391,0.10147749,19.921185,0.28072974,0.2571767,152.8149,1453,E3
-0.009358847,0.15779717,0.007221086,0.9967201,0.00064875185,0.99191505,-0.012778735,0.9945844,-21.77386175027562,0.08918153,19.921183,0.2807306,0.25717744,232.35106,1455,E3
-0.009359406,0.15779701,0.007218512,0.9967233,0.0006400049,0.9919122,-0.012785548,0.9945758,-20.623087543750643,0.10466786,19.921268,0.28073037,0.25717816,80.50734,1468,E3
-0.009357473,0.15779647,0.0072277095,0.9967217,0.0006274432,0.99191,-0.012782143,0.99459535,-21.395487913263302,0.09027246,19.921047,0.2807289,0.25717548,163.9838,1470,E3
-0.009358142,0.15779519,0.007215904,0.9967106,0.00064035505,0.9919222,-0.012772193,0.9945962,-21.49970686707632,0.06659158,19.921005,0.28073102,0.25717562,180.50165,1477,E3
-0.009358549,0.15779667,0.0072176773,0.99671435,0.00062952936,0.99191904,-0.012774715,0.9945905,-21.372997693913476,0.1000423,19.921074,0.28073013,0.25717634,160.62045,1481,E3
-0.009358623,0.15779619,0.007223772,0.9967195,0.0006287694,0.9919178,-0.01277932,0.9945914,-21.972772641927392,0.038044512,19.921257,0.28072837,0.25717723,279.07242,1483,E3
-0.009356797,0.15779667,0.0072323214,0.9967189,0.0006361902,0.99191344,-0.012780407,0.99459505,-20.49930764250601,0.14819643,19.92097,0.28072944,0.25717562,71.83346,1490,E3
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-20.607332648584695,0.15522757,19.921179,0.28072992,0.25717777,79.34787,1499,E3
-0.009359623,0.15779716,0.007223023,0.99671936,0.0006252229,0.99192214,-0.0127654355,0.9945935,-22.00085945153611,0.079992935,19.921085,0.28073388,0.25718096,286.37305,1500,E3
-0.009356677,0.15779655,0.00722667,0.99671924,0.00063702464,0.99191135,-0.012780746,0.994596,-21.001112656926487,0.09492019,19.921043,0.28072843,0.2571749,114.03874,1504,E3
