c5_color,c5_color_error,c5_s1,c5_s1_error,c5_s2,c5_s2_error,c5_s3,c5_s3_error,c5_luminosity,c5_luminosity_error,c5_reference_time_error,c5_predicted_redshift,c5_predicted_redshift_error,c5_amplitude,unit,epoch
0.001771493,0.15543565,-0.019184545,0.99693364,0.009804286,0.994872,-0.0019541066,1.005432,-21.33748765778728,0.14037614,19.999048,0.28100255,0.24687663,155.1071,1057,E1
0.0017728196,0.1554341,-0.019181501,0.9969386,0.009797152,0.9948664,-0.0019496847,1.0054289,-22.70508470351647,0.06826748,19.999222,0.2809999,0.2468738,546.613,1116,E1
0.0017729615,0.15543348,-0.01916935,0.99694073,0.009813987,0.9948725,-0.0019303542,1.0054302,-20.531598751526403,0.2042799,19.998941,0.28100213,0.24687487,73.837616,1126,E1
0.001771893,0.15543342,-0.01917822,0.9969319,0.0098150335,0.9948784,-0.0019177329,1.0054325,-22.48314767383434,0.067755684,19.998726,0.28100142,0.24687546,445.55353,1127,E1
0.0017722149,0.15543602,-0.019181192,0.9969328,0.0097963065,0.99487275,-0.0019358974,1.0054365,-22.605539933739273,0.061473075,19.999073,0.28100073,0.24687642,498.723,1129,E1
0.001771493,0.15543565,-0.019184545,0.99693364,0.009804286,0.994872,-0.0019541066,1.005432,-22.09003206086345,0.11430669,19.999048,0.28100255,0.24687663,310.2058,1131,E1
0.0017704681,0.15543616,-0.019182771,0.9969289,0.009774923,0.99487066,-0.0019545238,1.0054319,-20.8379954283117,0.18042994,19.999195,0.28100282,0.2468772,97.911575,1138,E1
0.001771493,0.15543565,-0.019184545,0.99693364,0.009804286,0.994872,-0.0019541066,1.005432,-20.566256960155442,0.28270888,19.999048,0.28100255,0.24687663,76.23238,1146,E1
0.0017713007,0.1554358,-0.019190501,0.99694175,0.009782501,0.99486434,-0.0019555222,1.0054322,-21.611976885164786,0.0973165,19.999092,0.28100413,0.2468767,199.72006,1149,E1
0.001771493,0.15543565,-0.019184545,0.99693364,0.009804286,0.994872,-0.0019541066,1.005432,-20.599460085155442,0.21850699,19.999048,0.28100255,0.24687663,78.59974,1150,E1
0.0017729469,0.15543225,-0.019189402,0.99693435,0.009809483,0.99487495,-0.0019218232,1.0054364,-22.363334128457666,0.07661803,19.99894,0.28100276,0.24687563,398.99692,1165,E1
0.001771493,0.15543565,-0.019184545,0.99693364,0.009804286,0.994872,-0.0019541066,1.005432,-21.138503511669114,0.10570495,19.999048,0.28100255,0.24687663,129.13339,1171,E1
